raw_hand_source_stamp,raw_hand_frame,raw_hand_valid,raw_hand_x,raw_hand_y,raw_hand_z,raw_hand_qx,raw_hand_qy,raw_hand_qz,raw_hand_qw,confidence_x,confidence_y,confidence_z,confidence_roll,confidence_pitch,confidence_yaw,gesture,gesture_confidence,invalid_reason,source_index,intent_label,primary_axis,cue_stage_index,cue_sweep_subphase,cue_direction_sign,m2_candidate_state,m2_candidate_translation_energy,m2_candidate_rotation_energy,m2_candidate_translation_rotation_ratio,m2_candidate_rotation_translation_ratio,m2_candidate_window_full,m2_candidate_reference_required
1.000000000,camera_color_optical_frame,1,-0.010668845866,0.050414450147,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.962172648,0.962172648,0.962172648,0.853468255,0.853468255,0.853468255,0,0.0,,0,ROTATION,RY,,,,UNDECIDED,0.000000000000,0.000000000000,undefined,undefined,0,0
1.166684866,camera_color_optical_frame,1,-0.010668845866,0.050414450147,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.894835681,0.894835681,0.894835681,0.855273598,0.855273598,0.855273598,0,0.0,,5,ROTATION,RY,,,,UNDECIDED,0.072845368006,0.037978797944,1.918053544358,0.521361879047,0,0
1.333555937,camera_color_optical_frame,1,-0.010668845866,0.050414450147,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.974836906,0.974836906,0.974836906,0.853956426,0.853956426,0.853956426,0,0.0,,10,ROTATION,RY,,,,UNDECIDED,0.101147667725,0.041019921729,2.465818155212,0.405544909257,0,0
1.500483036,camera_color_optical_frame,1,-0.010668845866,0.050414450147,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.996254682,0.996254682,0.996254682,0.854205256,0.854205256,0.854205256,0,0.0,,15,ROTATION,RY,,,,UNDECIDED,0.101157385978,0.069873445237,1.447722888635,0.690739925334,1,0
1.667420149,camera_color_optical_frame,1,-0.010523801134,0.047202546645,0.991000047070,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.954633205,0.954633205,0.954633205,0.853991322,0.853991322,0.853991322,0,0.0,,20,ROTATION,RY,,,,POSITION,0.138062720812,0.060459572022,2.283554385084,0.437913809512,1,0
1.834367514,camera_color_optical_frame,1,-0.010502313026,0.050008291434,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854277775,0.854277775,0.854277775,0,0.0,,25,ROTATION,RY,,,,POSITION,0.165184681517,0.088127545634,1.874381957748,0.533509189985,1,0
2.001324892,camera_color_optical_frame,1,-0.009021294441,0.049177725822,0.991000047070,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.994088670,0.994088670,0.994088670,0.853086681,0.853086681,0.853086681,0,0.0,,30,ROTATION,RY,,,,POSITION,0.196054370066,0.078288017165,2.504270476700,0.399317888904,1,0
2.168292522,camera_color_optical_frame,1,-0.008875769965,0.048244439018,0.985000046785,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853149950,0.853149950,0.853149950,0,0.0,,35,ROTATION,RY,,,,POSITION,0.197634137392,0.101134833746,1.954164851722,0.511727554161,1,0
2.335078478,camera_color_optical_frame,1,-0.009048580280,0.048637401883,0.994000047212,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.852680463,0.852680463,0.852680463,0,0.0,,40,ROTATION,RY,,,,POSITION,0.241627609036,0.166395595804,1.452127430831,0.688644797122,1,0
2.501816034,camera_color_optical_frame,1,-0.008875769965,0.048539161167,0.988000046927,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854437766,0.854437766,0.854437766,0,0.0,,45,ROTATION,RY,,,,POSITION,0.248286942080,0.165630822124,1.499038276191,0.667094373695,1,0
2.668551445,camera_color_optical_frame,1,-0.007341882516,0.050160600951,0.989000046975,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854632308,0.854632308,0.854632308,0,0.0,,50,ROTATION,RY,,,,POSITION,0.221996114149,0.154245338662,1.439240343174,0.694810984658,1,0
2.835284710,camera_color_optical_frame,1,-0.007408901063,0.048637401883,0.988000046927,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854427967,0.854427967,0.854427967,0,0.0,,55,ROTATION,RY,,,,POSITION,0.134678911224,0.134325589889,1.002630335257,0.997376565256,1,0
3.002015829,camera_color_optical_frame,1,-0.007341882516,0.048293559376,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.987642586,0.987642586,0.987642586,0.852457344,0.852457344,0.852457344,0,0.0,,60,ROTATION,RY,,,,POSITION,0.073291812075,0.133206835542,0.550210593747,1.817485906969,1,0
3.168744802,camera_color_optical_frame,1,-0.008957627482,0.050059061273,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.993371212,0.993371212,0.993371212,0.854152650,0.854152650,0.854152650,0,0.0,,65,ROTATION,RY,,,,POSITION,0.157702225632,0.132612509577,1.189195696056,0.840904489746,1,0
3.335783243,camera_color_optical_frame,1,-0.007423794073,0.051467524816,0.988000046927,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853570326,0.853570326,0.853570326,0,0.0,,70,ROTATION,RY,,,,POSITION,0.187815622140,0.120882690179,1.553701542064,0.643624256607,1,0
3.502907515,camera_color_optical_frame,1,-0.007386561547,0.050262140630,0.988000046927,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.989289192,0.989289192,0.989289192,0.853818551,0.853818551,0.853818551,0,0.0,,75,ROTATION,RY,,,,POSITION,0.184952304728,0.174654298370,1.058962226839,0.944320745968,1,0
3.670041561,camera_color_optical_frame,1,-0.007364222031,0.050693684261,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854430854,0.854430854,0.854430854,0,0.0,,80,ROTATION,RY,,,,POSITION,0.149636206173,0.190768470370,0.784386465347,1.274881763236,1,0
