raw_hand_source_stamp,raw_hand_frame,raw_hand_valid,raw_hand_x,raw_hand_y,raw_hand_z,raw_hand_qx,raw_hand_qy,raw_hand_qz,raw_hand_qw,confidence_x,confidence_y,confidence_z,confidence_roll,confidence_pitch,confidence_yaw,gesture,gesture_confidence,invalid_reason,source_index,intent_label,primary_axis,cue_stage_index,cue_sweep_subphase,cue_direction_sign
1.000000000,camera_color_optical_frame,1,-0.010668845866,0.050414450147,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.962172648,0.962172648,0.962172648,0.853468255,0.853468255,0.853468255,0,0.0,,0,ROTATION,RY,,,
1.166684866,camera_color_optical_frame,1,-0.009104375028,0.047280993589,0.997000047355,0.547261766757,-0.599456700173,0.296521748356,0.503220703087,0.894835681,0.894835681,0.894835681,0.855273598,0.855273598,0.855273598,0,0.0,,5,ROTATION,RY,,,
1.333555937,camera_color_optical_frame,1,-0.010754798299,0.050211370791,0.996000047307,0.547477468247,-0.599873434204,0.294589509020,0.503624171256,0.974836906,0.974836906,0.974836906,0.853956426,0.853956426,0.853956426,0,0.0,,10,ROTATION,RY,,,
1.500483036,camera_color_optical_frame,1,-0.010706450055,0.050160600952,0.996000047307,0.549333515694,-0.603318480023,0.294773494833,0.497341016749,0.996254682,0.996254682,0.996254682,0.854205256,0.854205256,0.854205256,0,0.0,,15,ROTATION,RY,,,
1.667420149,camera_color_optical_frame,1,-0.010561405323,0.046948697450,0.991000047070,0.548519648504,-0.602572581212,0.295798668802,0.498533476421,0.954633205,0.954633205,0.954633205,0.853991322,0.853991322,0.853991322,0,0.0,,20,ROTATION,RY,,,
1.834367514,camera_color_optical_frame,1,-0.010539917215,0.049754442239,0.986000046832,0.548667918057,-0.596646113196,0.297130457923,0.504668626206,1.000000000,1.000000000,1.000000000,0.854277775,0.854277775,0.854277775,0,0.0,,25,ROTATION,RY,,,
2.001324892,camera_color_optical_frame,1,-0.009058898630,0.048923876627,0.991000047070,0.548829244867,-0.599931318983,0.296968295353,0.500678244022,0.994088670,0.994088670,0.994088670,0.853086681,0.853086681,0.853086681,0,0.0,,30,ROTATION,RY,,,
2.168292522,camera_color_optical_frame,1,-0.008913374154,0.047990589823,0.985000046785,0.547858012476,-0.603249085608,0.302059864785,0.494673606498,1.000000000,1.000000000,1.000000000,0.853149950,0.853149950,0.853149950,0,0.0,,35,ROTATION,RY,,,
2.335078478,camera_color_optical_frame,1,-0.009086184469,0.048383552688,0.994000047212,0.551574983699,-0.590767413075,0.297470722429,0.508202784628,1.000000000,1.000000000,1.000000000,0.852680463,0.852680463,0.852680463,0,0.0,,40,ROTATION,RY,,,
2.501816034,camera_color_optical_frame,1,-0.008913374154,0.048285311972,0.988000046927,0.548950750366,-0.589731081242,0.300552460384,0.510429764069,1.000000000,1.000000000,1.000000000,0.854437766,0.854437766,0.854437766,0,0.0,,45,ROTATION,RY,,,
2.668551445,camera_color_optical_frame,1,-0.007379486705,0.049906751756,0.989000046975,0.548438416457,-0.588526984863,0.299109247258,0.513210434078,1.000000000,1.000000000,1.000000000,0.854632308,0.854632308,0.854632308,0,0.0,,50,ROTATION,RY,,,
2.835284710,camera_color_optical_frame,1,-0.007446505252,0.048383552688,0.988000046927,0.546027701553,-0.597619760508,0.305708812432,0.501244943106,1.000000000,1.000000000,1.000000000,0.854427967,0.854427967,0.854427967,0,0.0,,55,ROTATION,RY,,,
3.002015829,camera_color_optical_frame,1,-0.007379486705,0.048039710181,0.986000046832,0.547877728530,-0.599211138959,0.304198205905,0.498236346579,0.987642586,0.987642586,0.987642586,0.852457344,0.852457344,0.852457344,0,0.0,,60,ROTATION,RY,,,
3.168744802,camera_color_optical_frame,1,-0.008995231671,0.049805212078,0.993000047165,0.547187704321,-0.601091996729,0.305038307750,0.496211304299,0.993371212,0.993371212,0.993371212,0.854152650,0.854152650,0.854152650,0,0.0,,65,ROTATION,RY,,,
3.335783243,camera_color_optical_frame,1,-0.007461398262,0.051213675621,0.988000046927,0.555027126699,-0.594357587899,0.295501829256,0.501360763564,1.000000000,1.000000000,1.000000000,0.853570326,0.853570326,0.853570326,0,0.0,,70,ROTATION,RY,,,
3.502907515,camera_color_optical_frame,1,-0.007424165736,0.050008291435,0.988000046927,0.549252376540,-0.605079508693,0.301601042739,0.491159267492,0.989289192,0.989289192,0.989289192,0.853818551,0.853818551,0.853818551,0,0.0,,75,ROTATION,RY,,,
3.670041561,camera_color_optical_frame,1,-0.007401826220,0.050439835066,0.993000047165,0.550389672766,-0.598862838967,0.298930605245,0.499074144255,1.000000000,1.000000000,1.000000000,0.854430854,0.854430854,0.854430854,0,0.0,,80,ROTATION,RY,,,
3.837185383,camera_color_optical_frame,1,-0.008967945832,0.050008291435,0.988000046927,0.549586882781,-0.595499123109,0.300641194306,0.502941273846,0.990243902,0.990243902,0.990243902,0.854720438,0.854720438,0.854720438,0,0.0,,85,ROTATION,RY,,,
4.004338741,camera_color_optical_frame,1,-0.007345977431,0.048039710181,0.983000046690,0.554185776448,-0.590746666657,0.296801318926,0.505772160266,0.934740883,0.934740883,0.934740883,0.851589229,0.851589229,0.851589229,0,0.0,,90,ROTATION,RY,,,
4.171501875,camera_color_optical_frame,1,-0.008995231671,0.050008291435,0.989000046975,0.551227630572,-0.595043547316,0.297776499335,0.503388947570,1.000000000,1.000000000,1.000000000,0.854127442,0.854127442,0.854127442,0,0.0,,95,ROTATION,RY,,,
4.338296413,camera_color_optical_frame,1,-0.008995231671,0.049906751756,0.989000046975,0.548238695877,-0.599714930491,0.303249970821,0.497810997957,0.991428571,0.991428571,0.991428571,0.854905400,0.854905400,0.854905400,0,0.0,,100,ROTATION,RY,,,
4.504996061,camera_color_optical_frame,1,-0.008995231671,0.049906751756,0.994000047212,0.551039572886,-0.595756168685,0.299177182273,0.501919306458,1.000000000,1.000000000,1.000000000,0.854559228,0.854559228,0.854559228,0,0.0,,105,ROTATION,RY,,,
4.671691895,camera_color_optical_frame,1,-0.008995231671,0.048137950898,0.993000047165,0.552926103226,-0.598769609594,0.295617944322,0.498355003981,1.000000000,1.000000000,1.000000000,0.854606911,0.854606911,0.854606911,0,0.0,,110,ROTATION,RY,,,
4.838383913,camera_color_optical_frame,1,-0.009058898630,0.048432673046,0.996000047307,0.552280257662,-0.598601970758,0.294367455849,0.500009998437,1.000000000,1.000000000,1.000000000,0.856190536,0.856190536,0.856190536,0,0.0,,115,ROTATION,RY,,,
5.005072117,camera_color_optical_frame,1,-0.009013422231,0.046948697450,0.993000047165,0.547477862214,-0.601120300078,0.300597334630,0.498561548489,1.000000000,1.000000000,1.000000000,0.853845125,0.853845125,0.853845125,0,0.0,,120,ROTATION,RY,,,
5.171756268,camera_color_optical_frame,1,-0.009031612790,0.048432673046,0.991000047070,0.551142604530,-0.596858425954,0.297897414843,0.501257398020,1.000000000,1.000000000,1.000000000,0.853864189,0.853864189,0.853864189,0,0.0,,125,ROTATION,RY,,,
5.338456154,camera_color_optical_frame,1,-0.009013422231,0.050160600952,0.993000047165,0.548274562469,-0.598908821997,0.303306735220,0.498706578515,0.944756554,0.944756554,0.944756554,0.854602444,0.854602444,0.854602444,0,0.0,,130,ROTATION,RY,,,
5.505156040,camera_color_optical_frame,1,-0.009750235291,0.047892349107,0.986000046832,0.551575238269,-0.601852887527,0.296528647647,0.495589163954,0.993377483,0.993377483,0.993377483,0.854239325,0.854239325,0.854239325,0,0.0,,135,ROTATION,RY,,,
5.671852350,camera_color_optical_frame,1,-0.010443220726,0.047843228749,0.983000046690,0.551546186306,-0.599270875248,0.296209794679,0.498929834733,1.000000000,1.000000000,1.000000000,0.854353730,0.854353730,0.854353730,0,0.0,,140,ROTATION,RY,,,
5.838544607,camera_color_optical_frame,1,-0.009086184469,0.049243158954,0.993000047165,0.550232493692,-0.600928964720,0.299885410317,0.496182751539,0.990808824,0.990808824,0.990808824,0.855233322,0.855233322,0.855233322,0,0.0,,145,ROTATION,RY,,,
6.005233526,camera_color_optical_frame,1,-0.010604381540,0.048604594299,0.993000047165,0.556783852240,-0.600068261932,0.291119236645,0.495135752053,1.000000000,1.000000000,1.000000000,0.853860205,0.853860205,0.853860205,0,0.0,,150,ROTATION,RY,0,OUTBOUND,-1
6.171918154,camera_color_optical_frame,1,-0.009013422231,0.049906751756,0.986000046832,0.556555236716,-0.594391490302,0.290507833881,0.502543752517,1.000000000,1.000000000,1.000000000,0.853176509,0.853176509,0.853176509,0,0.0,,155,ROTATION,RY,0,OUTBOUND,-1
6.338618279,camera_color_optical_frame,1,-0.010507685052,0.048580034120,0.985000046785,0.552488203564,-0.602494805789,0.297729617607,0.493065785387,0.981660232,0.981660232,0.981660232,0.854700353,0.854700353,0.854700353,0,0.0,,160,ROTATION,RY,0,OUTBOUND,-1
6.505318403,camera_color_optical_frame,1,-0.009067993909,0.050160600952,0.994000047212,0.552512723456,-0.605739295453,0.300458824570,0.487374692717,1.000000000,1.000000000,1.000000000,0.853338238,0.853338238,0.853338238,0,0.0,,165,ROTATION,RY,0,OUTBOUND,-1
6.672014713,camera_color_optical_frame,1,-0.009031612790,0.050008291435,0.986000046832,0.555199483255,-0.599022112236,0.296374561369,0.495063796110,1.000000000,1.000000000,1.000000000,0.854246139,0.854246139,0.854246139,0,0.0,,170,ROTATION,RY,0,OUTBOUND,-1
6.838706970,camera_color_optical_frame,1,-0.008913374154,0.048432673046,0.983000046690,0.556183439157,-0.599865119218,0.294811568203,0.493870387862,0.969725639,0.969725639,0.969725639,0.853922291,0.853922291,0.853922291,0,0.0,,175,ROTATION,RY,0,OUTBOUND,-1
7.005395889,camera_color_optical_frame,1,-0.007416719231,0.049754442239,0.986000046832,0.550034399120,-0.601923517605,0.303881970938,0.492753474343,1.000000000,1.000000000,1.000000000,0.855396880,0.855396880,0.855396880,0,0.0,,180,ROTATION,RY,0,OUTBOUND,-1
7.172080517,camera_color_optical_frame,1,-0.008940659993,0.049449823205,0.983000046690,0.558051207477,-0.593644944023,0.291841665392,0.500991988570,1.000000000,1.000000000,1.000000000,0.853934882,0.853934882,0.853934882,0,0.0,,185,ROTATION,RY,0,OUTBOUND,-1
7.338780642,camera_color_optical_frame,1,-0.009040708070,0.048678274836,0.986000046832,0.554338234152,-0.598530324746,0.294306263448,0.497849772333,1.000000000,1.000000000,1.000000000,0.853304020,0.853304020,0.853304020,0,0.0,,190,ROTATION,RY,0,OUTBOUND,-1
7.505480766,camera_color_optical_frame,1,-0.008995231671,0.049779827159,0.985000046785,0.558681123019,-0.601293313471,0.283204989466,0.496101489515,1.000000000,1.000000000,1.000000000,0.852679504,0.852679504,0.852679504,0,0.0,,195,ROTATION,RY,0,OUTBOUND,-1
7.672177315,camera_color_optical_frame,1,-0.010432476672,0.047892349107,0.980000046548,0.563363796465,-0.609237612757,0.268559049377,0.489210385246,1.000000000,1.000000000,1.000000000,0.851708081,0.851708081,0.851708081,0,0.0,,200,ROTATION,RY,0,OUTBOUND,-1
7.838869810,camera_color_optical_frame,1,-0.010529173160,0.049500593044,0.978000046453,0.564298417756,-0.619181632023,0.255543924510,0.482575076987,0.982845610,0.982845610,0.982845610,0.850602186,0.850602186,0.850602186,0,0.0,,205,ROTATION,RY,0,OUTBOUND,-1
